Date,^DJI,^GSPC,^IXIC
2023-10-03,33002.37890625,4229.4501953125,13059.4697265625
2023-10-04,33129.55078125,4263.75,13236.009765625
2023-10-05,33119.5703125,4258.18994140625,13219.830078125
2023-10-06,33407.578125,4308.5,13431.33984375
2023-10-09,33604.6484375,4335.66015625,13484.240234375
2023-10-10,33739.30078125,4358.240234375,13562.83984375
2023-10-11,33804.87109375,4376.9501953125,13659.6796875
2023-10-12,33631.140625,4349.60986328125,13574.2197265625
2023-10-13,33670.2890625,4327.77978515625,13407.23046875
2023-10-16,33984.5390625,4373.6298828125,13567.98046875
2023-10-17,33997.6484375,4373.2001953125,13533.75
2023-10-18,33665.078125,4314.60009765625,13314.2998046875
2023-10-19,33414.171875,4278.0,13186.1796875
2023-10-20,33127.28125,4224.16015625,12983.8095703125
2023-10-23,32936.41015625,4217.0400390625,13018.330078125
2023-10-24,33141.37890625,4247.68017578125,13139.8701171875
2023-10-25,33035.9296875,4186.77001953125,12821.2197265625
2023-10-26,32784.30078125,4137.22998046875,12595.6103515625
2023-10-27,32417.58984375,4117.3701171875,12643.009765625
2023-10-30,32928.9609375,4166.81982421875,12789.48046875
2023-10-31,33052.87109375,4193.7998046875,12851.240234375
2023-11-01,33274.578125,4237.85986328125,13061.4697265625
2023-11-02,33839.078125,4317.77978515625,13294.1904296875
2023-11-03,34061.3203125,4358.33984375,13478.2802734375
2023-11-06,34095.859375,4365.97998046875,13518.7802734375
2023-11-07,34152.6015625,4378.3798828125,13639.8603515625
2023-11-08,34112.26953125,4382.77978515625,13650.41015625
2023-11-09,33891.94140625,4347.35009765625,13521.4501953125
2023-11-10,34283.1015625,4415.240234375,13798.1103515625
2023-11-13,34337.87109375,4411.5498046875,13767.740234375
2023-11-14,34827.69921875,4495.7001953125,14094.3798828125
2023-11-15,34991.2109375,4502.8798828125,14103.83984375
2023-11-16,34945.46875,4508.240234375,14113.669921875
2023-11-17,34947.28125,4514.02001953125,14125.48046875
2023-11-20,35151.0390625,4547.3798828125,14284.5302734375
2023-11-21,35088.2890625,4538.18994140625,14199.98046875
2023-11-22,35273.03125,4556.6201171875,14265.8603515625
2023-11-24,35390.1484375,4559.33984375,14250.849609375
2023-11-27,35333.46875,4550.43017578125,14241.01953125
2023-11-28,35416.98046875,4554.89013671875,14281.759765625
2023-11-29,35430.421875,4550.580078125,14258.490234375
2023-11-30,35950.890625,4567.7998046875,14226.2197265625
2023-12-01,36245.5,4594.6298828125,14305.0302734375
2023-12-04,36204.44140625,4569.77978515625,14185.490234375
2023-12-05,36124.55859375,4567.18017578125,14229.91015625
2023-12-06,36054.4296875,4549.33984375,14146.7099609375
2023-12-07,36117.37890625,4585.58984375,14339.990234375
2023-12-08,36247.87109375,4604.3701171875,14403.9697265625
2023-12-11,36404.9296875,4622.43994140625,14432.490234375
2023-12-12,36577.94140625,4643.7001953125,14533.400390625
2023-12-13,37090.23828125,4707.08984375,14733.9599609375
2023-12-14,37248.3515625,4719.5498046875,14761.5595703125
2023-12-15,37305.16015625,4719.18994140625,14813.919921875
2023-12-18,37306.01953125,4740.56005859375,14904.8095703125
2023-12-19,37557.921875,4768.3701171875,15003.2197265625
2023-12-20,37082.0,4698.35009765625,14777.9404296875
2023-12-21,37404.3515625,4746.75,14963.8701171875
2023-12-22,37385.96875,4754.6298828125,14992.9697265625
2023-12-26,37545.328125,4774.75,15074.5703125
2023-12-27,37656.51953125,4781.580078125,15099.1796875
2023-12-28,37710.1015625,4783.35009765625,15095.1396484375
2023-12-29,37689.5390625,4769.830078125,15011.349609375
2024-01-02,37715.0390625,4742.830078125,14765.9404296875
2024-01-03,37430.19140625,4704.81005859375,14592.2099609375
2024-01-04,37440.33984375,4688.68017578125,14510.2998046875
2024-01-05,37466.109375,4697.240234375,14524.0703125
2024-01-08,37683.01171875,4763.5400390625,14843.76953125
2024-01-09,37525.16015625,4756.5,14857.7099609375
2024-01-10,37695.73046875,4783.4501953125,14969.650390625
2024-01-11,37711.01953125,4780.240234375,14970.1904296875
2024-01-12,37592.98046875,4783.830078125,14972.759765625
2024-01-16,37361.12109375,4765.97998046875,14944.349609375
2024-01-17,37266.671875,4739.2099609375,14855.6201171875
2024-01-18,37468.609375,4780.93994140625,15055.650390625
2024-01-19,37863.80078125,4839.81005859375,15310.9697265625
2024-01-22,38001.80859375,4850.43017578125,15360.2900390625
2024-01-23,37905.44921875,4864.60009765625,15425.9404296875
2024-01-24,37806.390625,4868.5498046875,15481.919921875
2024-01-25,38049.12890625,4894.16015625,15510.5
2024-01-26,38109.4296875,4890.97021484375,15455.3603515625
2024-01-29,38333.44921875,4927.93017578125,15628.0400390625
2024-01-30,38467.30859375,4924.97021484375,15509.900390625
2024-01-31,38150.30078125,4845.64990234375,15164.009765625
2024-02-01,38519.83984375,4906.18994140625,15361.6396484375
2024-02-02,38654.421875,4958.60986328125,15628.9501953125
2024-02-05,38380.12109375,4942.81005859375,15597.6796875
2024-02-06,38521.359375,4954.22998046875,15609.0
2024-02-07,38677.359375,4995.06005859375,15756.6396484375
2024-02-08,38726.328125,4997.91015625,15793.7099609375
2024-02-09,38671.69140625,5026.60986328125,15990.66015625
2024-02-12,38797.37890625,5021.83984375,15942.5498046875
2024-02-13,38272.75,4953.169921875,15655.599609375
2024-02-14,38424.26953125,5000.6201171875,15859.150390625
2024-02-15,38773.12109375,5029.72998046875,15906.169921875
2024-02-16,38627.98828125,5005.56982421875,15775.650390625
2024-02-20,38563.80078125,4975.509765625,15630.7802734375
2024-02-21,38612.23828125,4981.7998046875,15580.8701171875
2024-02-22,39069.109375,5087.02978515625,16041.6201171875
2024-02-23,39131.53125,5088.7998046875,15996.8203125
2024-02-26,39069.23046875,5069.52978515625,15976.25
2024-02-27,38972.41015625,5078.18017578125,16035.2998046875
2024-02-28,38949.01953125,5069.759765625,15947.740234375
2024-02-29,38996.390625,5096.27001953125,16091.919921875
2024-03-01,39087.37890625,5137.080078125,16274.9404296875
2024-03-04,38989.828125,5130.9501953125,16207.509765625
2024-03-05,38585.19140625,5078.64990234375,15939.58984375
2024-03-06,38661.05078125,5104.759765625,16031.5400390625
2024-03-07,38791.3515625,5157.35986328125,16273.3798828125
2024-03-08,38722.69140625,5123.68994140625,16085.1103515625
2024-03-11,38769.66015625,5117.93994140625,16019.26953125
2024-03-12,39005.48828125,5175.27001953125,16265.6396484375
2024-03-13,39043.3203125,5165.31005859375,16177.76953125
2024-03-14,38905.66015625,5150.47998046875,16128.5302734375
2024-03-15,38714.76953125,5117.08984375,15973.169921875
2024-03-18,38790.4296875,5149.419921875,16103.4501953125
2024-03-19,39110.76171875,5178.509765625,16166.7900390625
2024-03-20,39512.12890625,5224.6201171875,16369.41015625
2024-03-21,39781.37109375,5241.52978515625,16401.83984375
2024-03-22,39475.8984375,5234.18017578125,16428.8203125
2024-03-25,39313.640625,5218.18994140625,16384.470703125
2024-03-26,39282.328125,5203.580078125,16315.7001953125
2024-03-27,39760.078125,5248.490234375,16399.51953125
2024-03-28,39807.37109375,5254.35009765625,16379.4599609375
2024-04-01,39566.8515625,5243.77001953125,16396.830078125
2024-04-02,39170.23828125,5205.81005859375,16240.4501953125
2024-04-03,39127.140625,5211.490234375,16277.4599609375
2024-04-04,38596.98046875,5147.2099609375,16049.080078125
2024-04-05,38904.0390625,5204.33984375,16248.51953125
2024-04-08,38892.80078125,5202.39013671875,16253.9599609375
2024-04-09,38883.671875,5209.91015625,16306.6396484375
2024-04-10,38461.51171875,5160.64013671875,16170.3603515625
2024-04-11,38459.078125,5199.06005859375,16442.19921875
2024-04-12,37983.23828125,5123.41015625,16175.08984375
2024-04-15,37735.109375,5061.81982421875,15885.01953125
2024-04-16,37798.96875,5051.41015625,15865.25
2024-04-17,37753.30859375,5022.2099609375,15683.3701171875
2024-04-18,37775.37890625,5011.1201171875,15601.5
2024-04-19,37986.3984375,4967.22998046875,15282.009765625
2024-04-22,38239.98046875,5010.60009765625,15451.3095703125
2024-04-23,38503.69140625,5070.5498046875,15696.6396484375
2024-04-24,38460.921875,5071.6298828125,15712.75
2024-04-25,38085.80078125,5048.419921875,15611.759765625
2024-04-26,38239.66015625,5099.9599609375,15927.900390625
2024-04-29,38386.08984375,5116.169921875,15983.080078125
2024-04-30,37815.921875,5035.68994140625,15657.8203125
2024-05-01,37903.2890625,5018.39013671875,15605.48046875
2024-05-02,38225.66015625,5064.2001953125,15840.9599609375
2024-05-03,38675.6796875,5127.7900390625,16156.330078125
2024-05-06,38852.26953125,5180.740234375,16349.25
2024-05-07,38884.26171875,5187.7001953125,16332.5595703125
2024-05-08,39056.390625,5187.669921875,16302.759765625
2024-05-09,39387.76171875,5214.080078125,16346.259765625
2024-05-10,39512.83984375,5222.68017578125,16340.8701171875
2024-05-13,39431.51171875,5221.419921875,16388.240234375
2024-05-14,39558.109375,5246.68017578125,16511.1796875
2024-05-15,39908.0,5308.14990234375,16742.390625
2024-05-16,39869.37890625,5297.10009765625,16698.3203125
2024-05-17,40003.58984375,5303.27001953125,16685.970703125
2024-05-20,39806.76953125,5308.1298828125,16794.869140625
2024-05-21,39872.98828125,5321.41015625,16832.619140625
2024-05-22,39671.0390625,5307.009765625,16801.5390625
2024-05-23,39065.26171875,5267.83984375,16736.029296875
2024-05-24,39069.58984375,5304.72021484375,16920.7890625
2024-05-28,38852.859375,5306.0400390625,17019.880859375
2024-05-29,38441.5390625,5266.9501953125,16920.580078125
2024-05-30,38111.48046875,5235.47998046875,16737.080078125
2024-05-31,38686.3203125,5277.509765625,16735.01953125
2024-06-03,38571.03125,5283.39990234375,16828.669921875
2024-06-04,38711.2890625,5291.33984375,16857.05078125
2024-06-05,38807.328125,5354.02978515625,17187.900390625
2024-06-06,38886.171875,5352.9599609375,17173.119140625
2024-06-07,38798.98828125,5346.990234375,17133.130859375
2024-06-10,38868.0390625,5360.7900390625,17192.529296875
2024-06-11,38747.421875,5375.31982421875,17343.55078125
2024-06-12,38712.2109375,5421.02978515625,17608.439453125
2024-06-13,38647.1015625,5433.740234375,17667.560546875
2024-06-14,38589.16015625,5431.60009765625,17688.880859375
2024-06-17,38778.1015625,5473.22998046875,17857.01953125
2024-06-18,38834.859375,5487.02978515625,17862.23046875
2024-06-20,39134.76171875,5473.169921875,17721.58984375
2024-06-21,39150.328125,5464.6201171875,17689.359375
2024-06-24,39411.2109375,5447.8701171875,17496.8203125
2024-06-25,39112.16015625,5469.2998046875,17717.650390625
2024-06-26,39127.80078125,5477.89990234375,17805.16015625
2024-06-27,39164.05859375,5482.8701171875,17858.6796875
2024-06-28,39118.859375,5460.47998046875,17732.599609375
2024-07-01,39169.51953125,5475.08984375,17879.30078125
2024-07-02,39331.8515625,5509.009765625,18028.759765625
2024-07-03,39308.0,5537.02001953125,18188.30078125
2024-07-05,39375.87109375,5567.18994140625,18352.759765625
2024-07-08,39344.7890625,5572.85009765625,18403.740234375
2024-07-09,39291.96875,5576.97998046875,18429.2890625
2024-07-10,39721.359375,5633.91015625,18647.44921875
2024-07-11,39753.75,5584.5400390625,18283.41015625
2024-07-12,40000.8984375,5615.35009765625,18398.44921875
2024-07-15,40211.71875,5631.22021484375,18472.5703125
2024-07-16,40954.48046875,5667.2001953125,18509.33984375
2024-07-17,41198.078125,5588.27001953125,17996.919921875
2024-07-18,40665.01953125,5544.58984375,17871.220703125
2024-07-19,40287.53125,5505.0,17726.939453125
2024-07-22,40415.44140625,5564.41015625,18007.5703125
2024-07-23,40358.08984375,5555.740234375,17997.349609375
2024-07-24,39853.87109375,5427.1298828125,17342.41015625
2024-07-25,39935.0703125,5399.22021484375,17181.720703125
2024-07-26,40589.33984375,5459.10009765625,17357.880859375
2024-07-29,40539.9296875,5463.5400390625,17370.19921875
2024-07-30,40743.328125,5436.43994140625,17147.419921875
2024-07-31,40842.7890625,5522.2998046875,17599.400390625
2024-08-01,40347.96875,5446.68017578125,17194.150390625
2024-08-02,39737.26171875,5346.56005859375,16776.16015625
2024-08-05,38703.26953125,5186.330078125,16200.080078125
2024-08-06,38997.66015625,5240.02978515625,16366.849609375
2024-08-07,38763.44921875,5199.5,16195.8095703125
2024-08-08,39446.48828125,5319.31005859375,16660.01953125
